text,label,cleansing,casefolding,tokenizing,stopword
Niat menabung tp tiap jam bukain grab food dan shopee food,negatif,niat menabung tp tiap jam bukain grab dan,niat menabung tp tiap jam bukain grab dan,"['niat', 'menabung', 'tp', 'tiap', 'jam', 'bukain', 'grab', 'dan']",niat menabung tp jam bukain grab
Shopee bagi notifikasi semalam cakap dia update address aku kepada petaling jaya. Pastu harini nak beli shopee foodš https://t.co/RXR0bZhu4A,netral,bagi notifikasi semalam cakap dia update address aku kepada petaling jaya pastu harini nak beli,bagi notifikasi semalam cakap dia update address aku kepada petaling jaya pastu harini nak beli,"['bagi', 'notifikasi', 'semalam', 'cakap', 'dia', 'update', 'address', 'aku', 'kepada', 'petaling', 'jaya', 'pastu', 'harini', 'nak', 'beli']",notifikasi semalam cakap update address petaling jaya pastu harini nak beli
Gile udh 2x order shopeefood dicancel mulu,negatif,gile udh x order dicancel mulu,gile udh x order dicancel mulu,"['gile', 'udh', 'x', 'order', 'dicancel', 'mulu']",gile udh x order dicancel mulu
"Beli shopeefood, khilaf kebanyakan order beberapa menu",negatif,beli khilaf kebanyakan order beberapa menu,beli khilaf kebanyakan order beberapa menu,"['beli', 'khilaf', 'kebanyakan', 'order', 'beberapa', 'menu']",beli khilaf kebanyakan order menu
"mo mandi tp harus nungguin abang shopeefood, takut tbtb pas mandi abangnya dah sampe",netral,mo mandi tp harus nungguin abang takut tbtb pas mandi abangnya dah sampe,mo mandi tp harus nungguin abang takut tbtb pas mandi abangnya dah sampe,"['mo', 'mandi', 'tp', 'harus', 'nungguin', 'abang', 'takut', 'tbtb', 'pas', 'mandi', 'abangnya', 'dah', 'sampe']",mo mandi tp nungguin abang takut tbtb pas mandi abangnya dah sampe
"@ShopeeID banyak tapi belum isi shopeepay lagi hihi, udah buat jajan di shopeefood soalnya__",netral,banyak tapi belum isi shopeepay lagi hihi udah buat jajan di soalnya,banyak tapi belum isi shopeepay lagi hihi udah buat jajan di soalnya,"['banyak', 'tapi', 'belum', 'isi', 'shopeepay', 'lagi', 'hihi', 'udah', 'buat', 'jajan', 'di', 'soalnya']",isi shopeepay hihi udah jajan
"@ubijuseyo @FOOD_FESS mending pesen online, kalo tutup tungguin aja di app nya soalnya kata abang shopeefood yg wktš https://t.co/hBN6PfNCHQ",netral,mending pesen online kalo tutup tungguin aja di app nya soalnya kata abang yg wkt,mending pesen online kalo tutup tungguin aja di app nya soalnya kata abang yg wkt,"['mending', 'pesen', 'online', 'kalo', 'tutup', 'tungguin', 'aja', 'di', 'app', 'nya', 'soalnya', 'kata', 'abang', 'yg', 'wkt']",mending pesen online kalo tutup tungguin aja app nya abang yg wkt
@nabilakurnianto langganan shopeefood gue klo di kosaan pek,positif,langganan gue klo di kosaan pek,langganan gue klo di kosaan pek,"['langganan', 'gue', 'klo', 'di', 'kosaan', 'pek']",langganan gue klo kosaan pek
shopee food lama bgt dah,negatif,lama bgt dah,lama bgt dah,"['lama', 'bgt', 'dah']",bgt dah
tahan tahan gaboleh co shopeefoodš,netral,tahan tahan gaboleh co,tahan tahan gaboleh co,"['tahan', 'tahan', 'gaboleh', 'co']",tahan tahan gaboleh co
"-ness rekomendasi seblak enak yang ada di grab, gojek, atau shopeefood dong.. selain bageur dan boom karena keduanyš https://t.co/luOHPf3flE",netral,ness rekomendasi seblak enak yang ada di grab gojek atau dong selain bageur dan boom karena keduany,ness rekomendasi seblak enak yang ada di grab gojek atau dong selain bageur dan boom karena keduany,"['ness', 'rekomendasi', 'seblak', 'enak', 'yang', 'ada', 'di', 'grab', 'gojek', 'atau', 'dong', 'selain', 'bageur', 'dan', 'boom', 'karena', 'keduany']",ness rekomendasi seblak enak grab gojek bageur boom keduany
Dih najis apaan ini shopeefood biaya lain2 ______,negatif,dih najis apaan ini biaya lain,dih najis apaan ini biaya lain,"['dih', 'najis', 'apaan', 'ini', 'biaya', 'lain']",dih najis biaya
eh tolol bru inget bsk 6.6 shopay nya gue pake buat shopeefood td aghrhrrh,negatif,eh tolol bru inget bsk shopay nya gue pake buat td aghrhrrh,eh tolol bru inget bsk shopay nya gue pake buat td aghrhrrh,"['eh', 'tolol', 'bru', 'inget', 'bsk', 'shopay', 'nya', 'gue', 'pake', 'buat', 'td', 'aghrhrrh']",eh tolol bru inget bsk shopay nya gue pake td aghrhrrh
"@Xxxibgdgrnxx @FWBESS gpp deh kirimin aja tapi lewat gofood atau shopee food. gpp besoknya sakit, yg penting makan.",netral,gpp deh kirimin aja tapi lewat gofood atau gpp besoknya sakit yg penting makan,gpp deh kirimin aja tapi lewat gofood atau gpp besoknya sakit yg penting makan,"['gpp', 'deh', 'kirimin', 'aja', 'tapi', 'lewat', 'gofood', 'atau', 'gpp', 'besoknya', 'sakit', 'yg', 'penting', 'makan']",gpp deh kirimin aja gofood gpp besoknya sakit yg makan
"RT @titaarzk: bener2 tinggal pencet order shopeefood mendadak lgs ujan deres, brati Allah lebih ridho aku diet____",negatif,bener tinggal pencet order mendadak lgs ujan deres brati allah lebih ridho aku diet,bener tinggal pencet order mendadak lgs ujan deres brati allah lebih ridho aku diet,"['bener', 'tinggal', 'pencet', 'order', 'mendadak', 'lgs', 'ujan', 'deres', 'brati', 'allah', 'lebih', 'ridho', 'aku', 'diet']",bener tinggal pencet order mendadak lgs ujan deres brati allah ridho diet
"tadi sumpah kocak bgt tiap ada motor lewat rumah, ayah sama aku barengan keluar wkwkwk sampe shopeefood lagi cari aš https://t.co/cQPM4xYKK2",netral,tadi sumpah kocak bgt tiap ada motor lewat rumah ayah sama aku barengan keluar wkwkwk sampe lagi cari a,tadi sumpah kocak bgt tiap ada motor lewat rumah ayah sama aku barengan keluar wkwkwk sampe lagi cari a,"['tadi', 'sumpah', 'kocak', 'bgt', 'tiap', 'ada', 'motor', 'lewat', 'rumah', 'ayah', 'sama', 'aku', 'barengan', 'keluar', 'wkwkwk', 'sampe', 'lagi', 'cari', 'a']",sumpah kocak bgt motor rumah ayah barengan wkwkwk sampe cari a
@heavensbrings Baru tau emang shopeefood bisa gitu??!????,netral,baru tau emang bisa gitu,baru tau emang bisa gitu,"['baru', 'tau', 'emang', 'bisa', 'gitu']",tau emang gitu
Kenape sih chat dr driver shopee food gbs langsung klik di notif bar,negatif,kenape sih chat dr driver gbs langsung klik di notif bar,kenape sih chat dr driver gbs langsung klik di notif bar,"['kenape', 'sih', 'chat', 'dr', 'driver', 'gbs', 'langsung', 'klik', 'di', 'notif', 'bar']",kenape sih chat dr driver gbs langsung klik notif bar
@ajiiprasojo bener lagi!! mau shopeefood mehong di ongkos siyal,negatif,bener lagi mau mehong di ongkos siyal,bener lagi mau mehong di ongkos siyal,"['bener', 'lagi', 'mau', 'mehong', 'di', 'ongkos', 'siyal']",bener mehong ongkos siyal
"bener2 tinggal pencet order shopeefood mendadak lgs ujan deres, brati Allah lebih ridho aku diet____",negatif,bener tinggal pencet order mendadak lgs ujan deres brati allah lebih ridho aku diet,bener tinggal pencet order mendadak lgs ujan deres brati allah lebih ridho aku diet,"['bener', 'tinggal', 'pencet', 'order', 'mendadak', 'lgs', 'ujan', 'deres', 'brati', 'allah', 'lebih', 'ridho', 'aku', 'diet']",bener tinggal pencet order mendadak lgs ujan deres brati allah ridho diet
"@YOIT2002 @collegemenfess Menurutku bisa aja sendernya beli delivery ku shopee food gt mungkin, soalnya ak jg bulanš https://t.co/Ntow14bH2u",positif,menurutku bisa aja sendernya beli delivery ku gt mungkin soalnya ak jg bulan,menurutku bisa aja sendernya beli delivery ku gt mungkin soalnya ak jg bulan,"['menurutku', 'bisa', 'aja', 'sendernya', 'beli', 'delivery', 'ku', 'gt', 'mungkin', 'soalnya', 'ak', 'jg', 'bulan']",menurutku aja sendernya beli delivery ku gt ak jg
"Dr siang scroll go food, grab food dan shopee food. Tp masih belum memutuskan mo makan apaaan____",negatif,dr siang scroll go grab dan tp masih belum memutuskan mo makan apaaan,dr siang scroll go grab dan tp masih belum memutuskan mo makan apaaan,"['dr', 'siang', 'scroll', 'go', 'grab', 'dan', 'tp', 'masih', 'belum', 'memutuskan', 'mo', 'makan', 'apaaan']",dr siang scroll go grab tp memutuskan mo makan apaaan
@ShopeeID lagi pengen shopeefood nya sie min,positif,lagi pengen nya sie min,lagi pengen nya sie min,"['lagi', 'pengen', 'nya', 'sie', 'min']",pengen nya sie min
"@shopeefood_id Min udah hampir 2 jam pesan shopeefood, driver engga bisa dihubungi, dan pesanan engga bisa di cancel. Tolong bantu.",negatif,min udah hampir jam pesan driver engga bisa dihubungi dan pesanan engga bisa di cancel tolong bantu,min udah hampir jam pesan driver engga bisa dihubungi dan pesanan engga bisa di cancel tolong bantu,"['min', 'udah', 'hampir', 'jam', 'pesan', 'driver', 'engga', 'bisa', 'dihubungi', 'dan', 'pesanan', 'engga', 'bisa', 'di', 'cancel', 'tolong', 'bantu']",min udah jam pesan driver engga dihubungi pesanan engga cancel tolong bantu
"Kenapa ya suka pelit sm diri sendiri, pengen shopeefood tp sayang uang __. Ngeluarin goceng aja gw ngerasa ngeluarin 50 ribu __",negatif,kenapa ya suka pelit sm diri sendiri pengen tp sayang uang ngeluarin goceng aja gw ngerasa ngeluarin ribu,kenapa ya suka pelit sm diri sendiri pengen tp sayang uang ngeluarin goceng aja gw ngerasa ngeluarin ribu,"['kenapa', 'ya', 'suka', 'pelit', 'sm', 'diri', 'sendiri', 'pengen', 'tp', 'sayang', 'uang', 'ngeluarin', 'goceng', 'aja', 'gw', 'ngerasa', 'ngeluarin', 'ribu']",ya suka pelit sm pengen tp sayang uang ngeluarin goceng aja gw ngerasa ngeluarin ribu
beli shopeefood kata abangnya udh otw lima menit lalu tp di maps blm jalan,negatif,beli kata abangnya udh otw lima menit lalu tp di maps blm jalan,beli kata abangnya udh otw lima menit lalu tp di maps blm jalan,"['beli', 'kata', 'abangnya', 'udh', 'otw', 'lima', 'menit', 'lalu', 'tp', 'di', 'maps', 'blm', 'jalan']",beli abangnya udh otw menit tp maps blm jalan
@anoanotherkey pilih icon shopeefood trus pilih menu makananya terus klik checkout kalau ada promo tinggal tambahinš https://t.co/aU5PBXCQaU,positif,pilih icon trus pilih menu makananya terus klik checkout kalau ada promo tinggal tambahin,pilih icon trus pilih menu makananya terus klik checkout kalau ada promo tinggal tambahin,"['pilih', 'icon', 'trus', 'pilih', 'menu', 'makananya', 'terus', 'klik', 'checkout', 'kalau', 'ada', 'promo', 'tinggal', 'tambahin']",pilih icon trus pilih menu makananya klik checkout promo tinggal tambahin
"@rwainhybii OHHH KIRAIN SHOPEEFOOD______
kalo biasa aku gatau hehe",netral,ohhh kirain kalo biasa aku gatau hehe,ohhh kirain kalo biasa aku gatau hehe,"['ohhh', 'kirain', 'kalo', 'biasa', 'aku', 'gatau', 'hehe']",ohhh kirain kalo gatau hehe
@remajaparuhbaya Shopeefood! Tp klo emg nemu yg lumayan sih. Kalo ga nemu yg bisa lumayan gitu sebenernya sama aja wkwk,netral,tp klo emg nemu yg lumayan sih kalo ga nemu yg bisa lumayan gitu sebenernya sama aja wkwk,tp klo emg nemu yg lumayan sih kalo ga nemu yg bisa lumayan gitu sebenernya sama aja wkwk,"['tp', 'klo', 'emg', 'nemu', 'yg', 'lumayan', 'sih', 'kalo', 'ga', 'nemu', 'yg', 'bisa', 'lumayan', 'gitu', 'sebenernya', 'sama', 'aja', 'wkwk']",tp klo emg nemu yg lumayan sih kalo ga nemu yg lumayan gitu sebenernya aja wkwk
"Dalam rangka pengin memanjakan diri (sebelum balik ke lapangan wkwkwkk disana bingung mau makan apa, kayanya belumš https://t.co/M73Th1pORk",netral,dalam rangka pengin memanjakan diri sebelum balik ke lapangan wkwkwkk disana bingung mau makan apa kayanya belum,dalam rangka pengin memanjakan diri sebelum balik ke lapangan wkwkwkk disana bingung mau makan apa kayanya belum,"['dalam', 'rangka', 'pengin', 'memanjakan', 'diri', 'sebelum', 'balik', 'ke', 'lapangan', 'wkwkwkk', 'disana', 'bingung', 'mau', 'makan', 'apa', 'kayanya', 'belum']",rangka pengin memanjakan lapangan wkwkwkk disana bingung makan kayanya
"@puttkinn terimakasih mbak putty, info parttime shopee kecuali shopeefood ehehe",positif,terimakasih mbak putty info parttime kecuali ehehe,terimakasih mbak putty info parttime kecuali ehehe,"['terimakasih', 'mbak', 'putty', 'info', 'parttime', 'kecuali', 'ehehe']",terimakasih mbak putty info parttime kecuali ehehe
Shopeefood knapa sekarang kamu mahallll,negatif,knapa sekarang kamu mahallll,knapa sekarang kamu mahallll,"['knapa', 'sekarang', 'kamu', 'mahallll']",knapa mahallll
@rndomsi Aku ada shopee food kaa,positif,aku ada kaa,aku ada kaa,"['aku', 'ada', 'kaa']",kaa
@GnR24383682 Udah ada di shopeefood blom ya..__,netral,udah ada di blom ya,udah ada di blom ya,"['udah', 'ada', 'di', 'blom', 'ya']",udah blom ya
@tanyakanrl ADA WEH_________ maxim jg adaa grab ada shopeefood ada nderr,netral,ada weh maxim jg adaa grab ada ada nderr,ada weh maxim jg adaa grab ada ada nderr,"['ada', 'weh', 'maxim', 'jg', 'adaa', 'grab', 'ada', 'ada', 'nderr']",weh maxim jg adaa grab nderr
"Nah, ShopeeFood sediain 2-2 nya nih buat kalian! Gak cuma enak, tapi juga MURAH! __  

BESOK PROMO PUNCAK 6.6 SANTAPš https://t.co/Ywp71NQf9V",positif,nah sediain nya nih buat kalian gak cuma enak tapi juga murah besok promo puncak santap,nah sediain nya nih buat kalian gak cuma enak tapi juga murah besok promo puncak santap,"['nah', 'sediain', 'nya', 'nih', 'buat', 'kalian', 'gak', 'cuma', 'enak', 'tapi', 'juga', 'murah', 'besok', 'promo', 'puncak', 'santap']",sediain nya nih gak enak murah besok promo puncak santap
@collegemenfess Ada nder ada aku seminggu 50k soang caranya? Beli nugget atau sosis 50k dapat 2 macam itu udah cukuš https://t.co/PRBp0Pxjnj,netral,ada nder ada aku seminggu k soang caranya beli nugget atau sosis k dapat macam itu udah cuku,ada nder ada aku seminggu k soang caranya beli nugget atau sosis k dapat macam itu udah cuku,"['ada', 'nder', 'ada', 'aku', 'seminggu', 'k', 'soang', 'caranya', 'beli', 'nugget', 'atau', 'sosis', 'k', 'dapat', 'macam', 'itu', 'udah', 'cuku']",nder seminggu k soang beli nugget sosis k udah cuku
@rwainhybii Eh ini shopee food atau shopee biasa?,netral,eh ini atau biasa,eh ini atau biasa,"['eh', 'ini', 'atau', 'biasa']",eh
eh sumpah starbucks promo mulu di shopeefood tiap kali aku bokek dan mesti hemat____,positif,eh sumpah starbucks promo mulu di tiap kali aku bokek dan mesti hemat,eh sumpah starbucks promo mulu di tiap kali aku bokek dan mesti hemat,"['eh', 'sumpah', 'starbucks', 'promo', 'mulu', 'di', 'tiap', 'kali', 'aku', 'bokek', 'dan', 'mesti', 'hemat']",eh sumpah starbucks promo mulu kali bokek mesti hemat
"@nugsss_ @shopeefood_id jadi inget pernah dapet orderan dianter ke red***z eh yang ngorder lagi ritual, nungguin haš https://t.co/NE2zzXPMFn",negatif,jadi inget pernah dapet orderan dianter ke redz eh yang ngorder lagi ritual nungguin ha,jadi inget pernah dapet orderan dianter ke redz eh yang ngorder lagi ritual nungguin ha,"['jadi', 'inget', 'pernah', 'dapet', 'orderan', 'dianter', 'ke', 'redz', 'eh', 'yang', 'ngorder', 'lagi', 'ritual', 'nungguin', 'ha']",inget dapet orderan dianter redz eh ngorder ritual nungguin ha
@Vhoenixs WKSKSKDKDK TANGGAL MUDA + DISKON SHOPEE FOOD ____________,positif,wkskskdkdk tanggal muda diskon,wkskskdkdk tanggal muda diskon,"['wkskskdkdk', 'tanggal', 'muda', 'diskon']",wkskskdkdk tanggal muda diskon
"@Euthhymia oh iya ada 6.6 yaa, ap yaaaa paling shopee food atau ga aku beli yg diskonan (random). kalo kamu apaa?",netral,oh iya ada yaa ap yaaaa paling atau ga aku beli yg diskonan random kalo kamu apaa,oh iya ada yaa ap yaaaa paling atau ga aku beli yg diskonan random kalo kamu apaa,"['oh', 'iya', 'ada', 'yaa', 'ap', 'yaaaa', 'paling', 'atau', 'ga', 'aku', 'beli', 'yg', 'diskonan', 'random', 'kalo', 'kamu', 'apaa']",oh iya yaa ap yaaaa ga beli yg diskonan random kalo apaa
"@Auliarahmaps @gustonur Jangan lupa pesen shopeefood zak, nek ana keluhan chat hakim bae masalah shopee wkwk",netral,jangan lupa pesen zak nek ana keluhan chat hakim bae masalah wkwk,jangan lupa pesen zak nek ana keluhan chat hakim bae masalah wkwk,"['jangan', 'lupa', 'pesen', 'zak', 'nek', 'ana', 'keluhan', 'chat', 'hakim', 'bae', 'masalah', 'wkwk']",lupa pesen zak nek ana keluhan chat hakim bae wkwk
@yhphile Loh iya? Aku ada itu shopee food nya,positif,loh iya aku ada itu nya,loh iya aku ada itu nya,"['loh', 'iya', 'aku', 'ada', 'itu', 'nya']",loh iya nya
@yhphile Itu ada di bawah kok shopee food,positif,itu ada di bawah kok,itu ada di bawah kok,"['itu', 'ada', 'di', 'bawah', 'kok']",
"Dari driver shopee food gw belajar. Driver Shopee food terbagi kedalam 2 golongan

Golongan Pertama : Ngerasa bahwaš https://t.co/WXJkQCSQgv",netral,dari driver gw belajar driver terbagi kedalam golongan golongan pertama ngerasa bahwa,dari driver gw belajar driver terbagi kedalam golongan golongan pertama ngerasa bahwa,"['dari', 'driver', 'gw', 'belajar', 'driver', 'terbagi', 'kedalam', 'golongan', 'golongan', 'pertama', 'ngerasa', 'bahwa']",driver gw belajar driver terbagi kedalam golongan golongan ngerasa
"Driver shopee food bapak2 gue panggil mas, sedangkan anak muda gue panggil pak. Mohon maap yaa, saya gak liat jelas fotonya________",netral,driver bapak gue panggil mas sedangkan anak muda gue panggil pak mohon maap yaa saya gak liat jelas fotonya,driver bapak gue panggil mas sedangkan anak muda gue panggil pak mohon maap yaa saya gak liat jelas fotonya,"['driver', 'bapak', 'gue', 'panggil', 'mas', 'sedangkan', 'anak', 'muda', 'gue', 'panggil', 'pak', 'mohon', 'maap', 'yaa', 'saya', 'gak', 'liat', 'jelas', 'fotonya']",driver gue panggil mas anak muda gue panggil mohon maap yaa gak liat fotonya
"Udh sampe igd td jam 11.30 an. Ditunggi2, eh taunya ga bisa tindakan hrs ranap lg. Yaudah deh plg aja. Berasa numpaš https://t.co/Npskdu2yHA",negatif,udh sampe igd td jam an ditunggi eh taunya ga bisa tindakan hrs ranap lg yaudah deh plg aja berasa numpa,udh sampe igd td jam an ditunggi eh taunya ga bisa tindakan hrs ranap lg yaudah deh plg aja berasa numpa,"['udh', 'sampe', 'igd', 'td', 'jam', 'an', 'ditunggi', 'eh', 'taunya', 'ga', 'bisa', 'tindakan', 'hrs', 'ranap', 'lg', 'yaudah', 'deh', 'plg', 'aja', 'berasa', 'numpa']",udh sampe igd td jam an ditunggi eh taunya ga tindakan hrs ranap lg yaudah deh plg aja berasa numpa
hih kesel sendiri deh jdnya dritadi scroll shopeefood tp bingung makan apaan,negatif,hih kesel sendiri deh jdnya dritadi scroll tp bingung makan apaan,hih kesel sendiri deh jdnya dritadi scroll tp bingung makan apaan,"['hih', 'kesel', 'sendiri', 'deh', 'jdnya', 'dritadi', 'scroll', 'tp', 'bingung', 'makan', 'apaan']",hih kesel deh jdnya dritadi scroll tp bingung makan
Kok shopeefood sekarang mahal sih. Udah pake voucher gratis ongkir jumbo masih kena ongkir padahal ga ada 1km. Teruš https://t.co/vTtrP5thqo,negatif,kok sekarang mahal sih udah pake voucher gratis ongkir jumbo masih kena ongkir padahal ga ada km teru,kok sekarang mahal sih udah pake voucher gratis ongkir jumbo masih kena ongkir padahal ga ada km teru,"['kok', 'sekarang', 'mahal', 'sih', 'udah', 'pake', 'voucher', 'gratis', 'ongkir', 'jumbo', 'masih', 'kena', 'ongkir', 'padahal', 'ga', 'ada', 'km', 'teru']",mahal sih udah pake voucher gratis ongkir jumbo kena ongkir ga km teru
@rin_xh65 @phoenixmgalaxy @jierasilvanna Iyaa huhuhuhu yakan kakk menggoda banget asli aku sampe buka gofood sama sš https://t.co/v3D2m0jbNa,netral,iyaa huhuhuhu yakan kakk menggoda banget asli aku sampe buka gofood sama s,iyaa huhuhuhu yakan kakk menggoda banget asli aku sampe buka gofood sama s,"['iyaa', 'huhuhuhu', 'yakan', 'kakk', 'menggoda', 'banget', 'asli', 'aku', 'sampe', 'buka', 'gofood', 'sama', 's']",iyaa huhuhuhu yakan kakk menggoda banget asli sampe buka gofood s
mbak_ shopee food tadi udah nemu blm ya rumahnya __,netral,mbak tadi udah nemu blm ya rumahnya,mbak tadi udah nemu blm ya rumahnya,"['mbak', 'tadi', 'udah', 'nemu', 'blm', 'ya', 'rumahnya']",mbak udah nemu blm ya rumahnya
"gakerasa udh jam tigaa, gw dri jam satu buka shopeefood kaga tau mau beli apa __",negatif,gakerasa udh jam tigaa gw dri jam satu buka kaga tau mau beli apa,gakerasa udh jam tigaa gw dri jam satu buka kaga tau mau beli apa,"['gakerasa', 'udh', 'jam', 'tigaa', 'gw', 'dri', 'jam', 'satu', 'buka', 'kaga', 'tau', 'mau', 'beli', 'apa']",gakerasa udh jam tigaa gw dri jam buka kaga tau beli
shopeefood knp ga bs pake spaylater dh w kan mw makdi mls isi spay__,negatif,knp ga bs pake spaylater dh w kan mw makdi mls isi spay,knp ga bs pake spaylater dh w kan mw makdi mls isi spay,"['knp', 'ga', 'bs', 'pake', 'spaylater', 'dh', 'w', 'kan', 'mw', 'makdi', 'mls', 'isi', 'spay']",knp ga bs pake spaylater dh w mw makdi mls isi spay
"dari pukol 1 scroll grab ngn shopee food nak makan apa, kinek bok dpt decide ujong2 order subway __ sedangkan yg dilš https://t.co/70msOqxJfk",negatif,dari pukol scroll grab ngn nak makan apa kinek bok dpt decide ujong order subway sedangkan yg dil,dari pukol scroll grab ngn nak makan apa kinek bok dpt decide ujong order subway sedangkan yg dil,"['dari', 'pukol', 'scroll', 'grab', 'ngn', 'nak', 'makan', 'apa', 'kinek', 'bok', 'dpt', 'decide', 'ujong', 'order', 'subway', 'sedangkan', 'yg', 'dil']",pukol scroll grab ngn nak makan kinek bok dpt decide ujong order subway yg dil
"buat ngisi waktu liburan, w pengen jadi driver shopee food dah",positif,buat ngisi waktu liburan w pengen jadi driver dah,buat ngisi waktu liburan w pengen jadi driver dah,"['buat', 'ngisi', 'waktu', 'liburan', 'w', 'pengen', 'jadi', 'driver', 'dah']",ngisi liburan w pengen driver dah
"@peachigx perlu khawatir, hal ini menjadi masukan untuk ShopeeFood agar menjadi lebih baik lagi kedepannya ya. Kabaš https://t.co/8Mg18EwOhs",negatif,perlu khawatir hal ini menjadi masukan untuk agar menjadi lebih baik lagi kedepannya ya kaba,perlu khawatir hal ini menjadi masukan untuk agar menjadi lebih baik lagi kedepannya ya kaba,"['perlu', 'khawatir', 'hal', 'ini', 'menjadi', 'masukan', 'untuk', 'agar', 'menjadi', 'lebih', 'baik', 'lagi', 'kedepannya', 'ya', 'kaba']",khawatir masukan kedepannya ya kaba
"@peachigx Hi kak Fan, mohon maaf terkait kendala jarak rute pemesanan ShopeeFood. Saat ini tidak ada kendala pd sisš https://t.co/41RHXXAO28",negatif,hi kak fan mohon maaf terkait kendala jarak rute pemesanan saat ini tidak ada kendala pd sis,hi kak fan mohon maaf terkait kendala jarak rute pemesanan saat ini tidak ada kendala pd sis,"['hi', 'kak', 'fan', 'mohon', 'maaf', 'terkait', 'kendala', 'jarak', 'rute', 'pemesanan', 'saat', 'ini', 'tidak', 'ada', 'kendala', 'pd', 'sis']",hi kak fan mohon maaf terkait kendala jarak rute pemesanan kendala pd sis
"@secowon betul sih.. sekarang gojek, shopeefood tuh mahal di biaya layanan dsb nya. kayak banyak banget biaya tambaš https://t.co/lkn0fYwNuA",negatif,betul sih sekarang gojek tuh mahal di biaya layanan dsb nya kayak banyak banget biaya tamba,betul sih sekarang gojek tuh mahal di biaya layanan dsb nya kayak banyak banget biaya tamba,"['betul', 'sih', 'sekarang', 'gojek', 'tuh', 'mahal', 'di', 'biaya', 'layanan', 'dsb', 'nya', 'kayak', 'banyak', 'banget', 'biaya', 'tamba']",sih gojek tuh mahal biaya layanan dsb nya kayak banget biaya tamba
laper banget liat grabfood shopeefood kenapa jadi ikutan mihil mihil __,negatif,laper banget liat grabfood kenapa jadi ikutan mihil mihil,laper banget liat grabfood kenapa jadi ikutan mihil mihil,"['laper', 'banget', 'liat', 'grabfood', 'kenapa', 'jadi', 'ikutan', 'mihil', 'mihil']",laper banget liat grabfood ikutan mihil mihil
@um_fess Aku beli di shopeefood biasanya,positif,aku beli di biasanya,aku beli di biasanya,"['aku', 'beli', 'di', 'biasanya']",beli
@multikingd0m Weh samaaaa ! I baru je tengok buttercream latte dekat shopeefood __,positif,weh samaaaa i baru je tengok buttercream latte dekat,weh samaaaa i baru je tengok buttercream latte dekat,"['weh', 'samaaaa', 'i', 'baru', 'je', 'tengok', 'buttercream', 'latte', 'dekat']",weh samaaaa i je tengok buttercream latte
@meowtide_ WKWKWKWK daah habis__beli shopeefood ada banyak promo__,positif,wkwkwkwk daah habisbeli ada banyak promo,wkwkwkwk daah habisbeli ada banyak promo,"['wkwkwkwk', 'daah', 'habisbeli', 'ada', 'banyak', 'promo']",wkwkwkwk daah habisbeli promo
"@convomf Abang shopeefood, ""iya nder""",positif,abang iya nder,abang iya nder,"['abang', 'iya', 'nder']",abang iya nder
"Kanggo mas-mas Shopee Food sing ngeterke pangananku mau.

Sepurane mas,kesegeranmu awan iki berkurang,mergo ES mu katut kok kekke aku__",netral,kanggo masmas sing ngeterke pangananku mau sepurane maskesegeranmu awan iki berkurangmergo es mu katut kok kekke aku,kanggo masmas sing ngeterke pangananku mau sepurane maskesegeranmu awan iki berkurangmergo es mu katut kok kekke aku,"['kanggo', 'masmas', 'sing', 'ngeterke', 'pangananku', 'mau', 'sepurane', 'maskesegeranmu', 'awan', 'iki', 'berkurangmergo', 'es', 'mu', 'katut', 'kok', 'kekke', 'aku']",kanggo masmas sing ngeterke pangananku sepurane maskesegeranmu awan iki berkurangmergo es mu katut kekke
"Aku 2 hari ga ketemu siapa siapa ga berinteraksi sama siapa siapa kok masih dapet sial sih, bisa bisanya dapet drivš https://t.co/D8AGMcbDf1",negatif,aku hari ga ketemu siapa siapa ga berinteraksi sama siapa siapa kok masih dapet sial sih bisa bisanya dapet driv,aku hari ga ketemu siapa siapa ga berinteraksi sama siapa siapa kok masih dapet sial sih bisa bisanya dapet driv,"['aku', 'hari', 'ga', 'ketemu', 'siapa', 'siapa', 'ga', 'berinteraksi', 'sama', 'siapa', 'siapa', 'kok', 'masih', 'dapet', 'sial', 'sih', 'bisa', 'bisanya', 'dapet', 'driv']",ga ketemu ga berinteraksi dapet sial sih bisanya dapet driv
"aku dom Jakarta Barat yaa, selama menganggur aku sehari-harinya ngojek shopeefood driver &amp; lalamove driver untuk memenuhi kebutuhan hidup.",positif,aku dom jakarta barat yaa selama menganggur aku sehariharinya ngojek driver amp lalamove driver untuk memenuhi kebutuhan hidup,aku dom jakarta barat yaa selama menganggur aku sehariharinya ngojek driver amp lalamove driver untuk memenuhi kebutuhan hidup,"['aku', 'dom', 'jakarta', 'barat', 'yaa', 'selama', 'menganggur', 'aku', 'sehariharinya', 'ngojek', 'driver', 'amp', 'lalamove', 'driver', 'untuk', 'memenuhi', 'kebutuhan', 'hidup']",dom jakarta barat yaa menganggur sehariharinya ngojek driver amp lalamove driver memenuhi kebutuhan hidup
@woodywoodfvcker nah krn bs jalan sendiri jd ga bingung shopeefood,positif,nah krn bs jalan sendiri jd ga bingung,nah krn bs jalan sendiri jd ga bingung,"['nah', 'krn', 'bs', 'jalan', 'sendiri', 'jd', 'ga', 'bingung']",krn bs jalan jd ga bingung
